video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=dFMMssyRsWo,/c/TheEconomist,The Economist,Climate change technology: is shading the earth too risky? | The Economist,8.7K,8.7K views,,2022-04-21 18:34:16.076320
/watch?v=G4H1N_yXBiA,/c/NatGeo,National Geographic,Causes and Effects of Climate Change | National Geographic,3.4M,3.4M views,,2022-04-21 18:34:16.082248
/watch?v=LxgMdjyw8uw,/c/inanutshell,Kurzgesagt – In a Nutshell,We WILL Fix Climate Change!,5.9M,5.9M views,,2022-04-21 18:34:16.088056
/watch?v=ux7MfEbwJXk,/c/SciShow,SciShow,The Climate Crisis Is Changing the Circle of Life,80K,80K views,,2022-04-21 18:34:16.094229
/watch?v=-Vm_gabtIA8,/c/CNBC,CNBC,Where Americans Can Move To Avoid Climate Change,8.2K,8.2K views,,2022-04-21 18:34:16.100375
/watch?v=cet5TTcCY8Y,/c/gmanews,GMA News,What will happen if we fail to meet the 2030 climate change deadline? | Need to Know,665K,665K views,,2022-04-21 18:34:16.106125
/watch?v=ffCcpr4i1cw,/channel/UCzkgWnYL4NFl7MOsaHNhs5g,Jordan Peterson Notes,Jordan Peterson Criticizes Climate Change Types,205K,205K views,,2022-04-21 18:34:22.433999
/watch?v=dcBXmj1nMTQ,/c/aljazeeraenglish,Al Jazeera English,What is Climate Change? | Start Here,801K,801K views,,2022-04-21 18:34:22.440897
/watch?v=vBjabNusoKM,/c/BBCNews,BBC News,UN scientists say it's 'now or never' to limit global warming - BBC News,164K,164K views,,2022-04-21 18:34:22.447878
/watch?v=yiw6_JakZFc,/c/inanutshell,Kurzgesagt – In a Nutshell,Can YOU Fix Climate Change?,11M,11M views,,2022-04-21 18:34:22.454706
/watch?v=QK7g6pgaC7I,/c/DWPlanetA,DW Planet A,Why it's hard to care about climate change,75K,75K views,,2022-04-21 18:34:22.461310
/watch?v=uynhvHZUOOo,/c/TheEconomist,The Economist,See what three degrees of global warming looks like | The Economist,1.5M,1.5M views,,2022-04-21 18:34:22.468489
/watch?v=tcj9IGY6Etg,/c/pbsterra,PBS Terra,THIS Is the Safest Place to Live as the Climate Changes,312K,312K views,,2022-04-21 18:34:22.474741
/watch?v=tMwFNMfjFuU,/c/crashcourse,CrashCourse,What is Climate Change? Crash Course Geography #14,133K,133K views,,2022-04-21 18:34:22.481754
/watch?v=icXNWOHsU1Q,/c/DWDocumentary,DW Documentary,A threat to human rights - The legal battle to stop climate change | DW Documentary,49K,49K views,,2022-04-21 18:34:22.488812
/watch?v=dIsjcG7hTmo,/c/bbcearth,BBC Earth,When The World Gets 1℃ Hotter | Climate Change: The Facts | BBC Earth,221K,221K views,,2022-04-21 18:34:22.495986
/watch?v=EtW2rrLHs08,/c/NatGeo,National Geographic,Climate Change 101 with Bill Nye | National Geographic,2.4M,2.4M views,,2022-04-21 18:34:22.502283
/watch?v=febBRv2Vftk,/c/bbcearth,BBC Earth,The Tipping Point | Climate Change: The Facts | BBC Earth,171K,171K views,,2022-04-21 18:34:22.509190
/watch?v=ifrHogDujXw,/c/TheDailyConversation,TDC,Climate Change Explained Simply,1.4M,1.4M views,,2022-04-21 18:34:22.515569
/watch?v=-D_Np-3dVBQ,/user/MattMiltonberger,Matt Miltonberger,Climate Change - We are the PROBLEM & the SOLUTION (Animated Infographic),798K,798K views,,2022-04-21 18:34:22.521346
/watch?v=jAa58N4Jlos,/channel/UCT90nd90McLzkJ00ha3dTQg,DJI Captures,Climate Change - A Short Film [4K],398K,398K views,,2022-04-21 18:34:29.263133
/watch?v=vn9Vl0G53lA,/c/OurChangingClimate,Our Changing Climate,Why Electric Cars Won't Save Us,82K,82K views,,2022-04-21 18:34:29.270466
/watch?v=MtuhOztNOtI,/c/SimonOxfPhys,Simon Clark,How to sue climate change (and win!),18K,18K views,,2022-04-21 18:34:29.278014
/watch?v=mYa0B8xv7r0,/c/ScienceTalkwithJimMassa,Science Talk with Jim Massa,"IPCC Report - Wetter, Drier Conditions, Rich Nations all Affected by Climate Change",72,72 views,,2022-04-21 18:34:29.284029
/watch?v=sLFqVCOQQRM,/c/CBSMornings,CBS Mornings,Experimental forest shows impacts of climate change scenarios,3K,3K views,,2022-04-21 18:34:29.290683
/watch?v=nS2aanEKM-M,/c/nowthisnews,NowThis News,Is Dark Money Threatening the Fight Against Climate Change?,327,327 views,,2022-04-21 18:34:29.297255
/watch?v=nWeAjkTsam8,/c/PBSNewsHour,PBS NewsHour,John Kerry on the costs of climate change,2.1K,2.1K views,,2022-04-21 18:34:29.304788
/watch?v=7GOugySW6lw,/c/WION,WION,Climate change is causing Glacial melt in Bolivia | WION Climate Tracker,2.7K,2.7K views,,2022-04-21 18:34:29.312714
/watch?v=0y4i2RuCgQk,/c/IICAnews,IICAnews,Sustainable beef/Session2:How cattle and beef can provide climate change solutions from the Americas,55,55 views,,2022-04-21 18:34:29.318850
/watch?v=IlKbxkleGXw,/channel/UCwuEoJMFIiQIRYiotxs8uTg,Naeemah Abdul-mateen,“Climate Change?” APES Short Film,30,30 views,,2022-04-21 18:34:29.325476
/watch?v=HqswYzVo0IE,/c/BlacksheepDarbarOfficial,Darbar,சென்னையின் பல பகுதிகள் தீவாக மாறும் | Climate Change | Poovulagin Nanbargal | IPCC Report | Darbar,170,170 views,,2022-04-21 18:34:29.331739
/watch?v=2yuRtRdp2V8,/c/NAHEPCAASTANAND,"NAHEP CAAST, ANAND",Climate change and Agricultural,455,455 views,,2022-04-21 18:34:29.337715
/watch?v=cqosWN01IOU,/c/Denver7,Denver7 – The Denver Channel,How climate change is contributing to Colorado's fire years,93,93 views,,2022-04-21 18:34:29.344965
/watch?v=0j3qhfnJw4U,/sabcnews,SABC News,KZN Floods I Assessing climate change in SA with Prof. Coleen Vogel,932,932 views,,2022-04-21 18:34:29.351942
/watch?v=vaLBr_ksRSg,/channel/UCnP8jN77p7EyhCQTAcRExHQ,UM - Faculty of Agricultural and Food Sciences,"Day3PR3   GHOSH, SoumyadityaShomoUnderstanding the Impact of Climate Change on Current and Future Cr",15,15 views,,2022-04-21 18:34:29.359086
/watch?v=rNNtInxDF9I,/c/qualitypointtech,Rajamanickam Antonimuthu,Climate Change -  Earth Day 2022 Google Doodle,52,52 views,,2022-04-21 18:34:29.365298
/watch?v=ixFAqUB578E,/c/%C4%80gamaResearchGroup,Āgama Research Group,Bhikkhu Anālayo | Mindfully facing climate change | 4 lectures | 2. An ethics of the mind | 2019,13,13 views,,2022-04-21 18:34:29.371589
/watch?v=zm52vi-dS3E,/c/TwoBitdaVinci,Two Bit da Vinci,The Truth About Carbon Footprints…,2K,2K views,,2022-04-21 18:34:29.379329
/watch?v=JBFc0JDb6TI,/c/mit,Massachusetts Institute of Technology (MIT),Reinventing Climate Change Adaptation: The Climate Resilience Early Warning System (CREWSnet),8,8 views,,2022-04-21 18:34:29.386747
/watch?v=p45bVY-lijE,/c/WSPGlobal,WSP,Water Data Management in a Climate Change Perspective – Experiences from Denmark,8,8 views,,2022-04-21 18:34:29.393087
/watch?v=TcWjO7Y_Ajg,/user/AGCofAmerica,AGCofAmerica,Earth Day - Climate Change Discussion,23,23 views,,2022-04-21 18:34:36.762789
/watch?v=crGdJ6LoPfI,/channel/UClA5uS5z6mKyduY6RngVquQ,ABSTV Antigua,REGIONAL CLIMATE CHANGE MEETING BEGINS IN ANTIGUA AND BARBUDA,51,51 views,,2022-04-21 18:34:36.771002
/watch?v=dzBiW9ILUAI,/c/%C4%80gamaResearchGroup,Āgama Research Group,Bhikkhu Anālayo | Mindfully facing climate change | 4 lectures | 4. Walking the path | 2019,5,5 views,,2022-04-21 18:34:36.779193
/watch?v=tlWuP7wESZw,/c/TED,TED,Ilissa Ocko: The fastest way to slow climate change now | TED Countdown,181K,181K views,,2022-04-21 18:34:36.786529
/watch?v=9ydDNU3-ay8,/c/SciShow,SciShow,Our Roadmap to Fix Climate Change | SciShow News,92K,92K views,,2022-04-21 18:34:36.794303
/watch?v=PUKo4grUjcE,/c/WION,WION,Long-lasting effects of Global Warming: Atmospheric rivers destabilizing Ice shelves | WION,39K,39K views,,2022-04-21 18:34:36.801603
/watch?v=pGMqQ_QoQag,/c/WaleedHiggins,Waleed Higgins,Climate Change News 2022 | Antarctic Doomsday Glacier is Collapsing,1K,1K views,,2022-04-21 18:34:36.813920
/watch?v=GLFl5f8jipM,/c/Triggerpod,Triggernometry,Climate Change: Propaganda vs. Reality with Mallen Baker,68K,68K views,,2022-04-21 18:34:36.820351
/watch?v=X_BkfckWpFA,/c/TODAY,TODAY,Climate Change: How Women Are Leading The Charge To Save Our Planet | TODAY ALL Day,1.1K,1.1K views,,2022-04-21 18:34:36.828061
/watch?v=Sv7OHfpIRfU,/c/Rappler,Rappler,Climate change (according to a kid),1M,1M views,,2022-04-21 18:34:36.835166
/watch?v=6CXRaTnKDXA,/user/TheThomasHagel,Random name,The Climate Change Debate Is Long Over And There Is Nothing We Can Do,1.5M,1.5M views,,2022-04-21 18:34:36.846971
/watch?v=fYbTQ2-vGEE,/c/EmygidiusGeorge,Sermons Room,"Pope francis words on Sunday Law ,Climate change no Job no Buy no sell",7.6K,7.6K views,,2022-04-21 18:34:36.853498
/watch?v=StjJgRNL-lw,/c/ABCNews,ABC News,Why protecting national parks from climate change is critical,694,694 views,,2022-04-21 18:34:36.860341
/watch?v=zQZtA8MtqNI,/c/guardianwires,Guardian News,XR: climate protesters enter Shell HQ and scientists glued to government building,256K,256K views,,2022-04-21 18:34:36.867250
/watch?v=SHp6oysLGJQ,/c/WION,WION,Climate change disrupts supply chains as the rise in sea levels poses a major threat | WION,20K,20K views,,2022-04-21 18:34:36.874102
/watch?v=JMGKcYRaWkI,/c/UNTVNewsandRescue,UNTV News and Rescue,Mayayamang bansa magbayad sa PH sa pinsalang dala ng climate change — PRRD,143K,143K views,,2022-04-21 18:34:36.881040
/watch?v=CqtZdnpfgIc,/c/SimonOxfPhys,Simon Clark,What the Hockey Stick missed about climate change,454K,454K views,,2022-04-21 18:34:36.887760
/shorts/6mIamBZST1w,/channel/UCBGWHb1P0Z07SYUqjuOnCmw,Concentrated Clark,Climate change isn't fair #shorts,498,498 views,,2022-04-21 18:34:36.894052
/watch?v=zafVhjCAL84,/channel/UCPbyIYGQv3BQebWiC9mKOBA,Climate change,NATURAL DISASTERS from 03.04 - 09.04. 2022 сlimate changе! flood,56K,56K views,,2022-04-21 18:34:44.609446
/watch?v=ay_UEg8ou-g,/user/CBSSundayMorning,CBS Sunday Morning,Climate change lawsuits: Taking fossil fuel firms to court,20K,20K views,,2022-04-21 18:34:44.617652
/watch?v=GSIRedbcGYE,/c/TheProblemWithJonStewart,The Problem With Jon Stewart,The Reality Of Climate Change | The Problem With Jon Stewart | Apple TV+,246K,246K views,,2022-04-21 18:34:44.624983
/watch?v=XIgGmhZPDlE,/c/dwnews,DW News,UN releases handbook of climate change solutions | DW News,23K,23K views,,2022-04-21 18:34:44.634338
/watch?v=yeG1mZvJvzI,/c/SkyNewsAustralia,Sky News Australia,‘Garbage’: Paul Murray slams Allegra Spender for climate change comments,2.3K,2.3K views,,2022-04-21 18:34:44.638739
/watch?v=9GjrS8QbHmY,/c/SkyNews,Sky News,Climate Change: What Happens If The World Warms Up By 2°C?,391K,391K views,,2022-04-21 18:34:44.646603
/watch?v=FQ6yO7cac6M,/c/SkyNews,Sky News,Climate Change: UN warns global warming is set to be more than double agreed 1.5 degree limit,42K,42K views,,2022-04-21 18:34:44.651044
/watch?v=1YgaJzIGA50,/c/CNBCtelevision,CNBC Television,U.N. climate report: World must deal with climate change 'now or never',64K,64K views,,2022-04-21 18:34:44.654116
/watch?v=wbR-5mHI6bo,/c/inanutshell,Kurzgesagt – In a Nutshell,"Is It Too Late To Stop Climate Change? Well, it's Complicated.",6.4M,6.4M views,,2022-04-21 18:34:44.658423
/watch?v=LiXj6z61u88,/c/CBSMornings,CBS Mornings,"Climate change, high energy prices raise demand for self-sustaining homes called Earthships",3.8K,3.8K views,,2022-04-21 18:34:44.666808
/watch?v=cn9PhiDJp-A,/c/Hopscotchsongs,Hopscotch,Climate Change Song,1.1M,1.1M views,,2022-04-21 18:34:44.673073
/watch?v=zdYEjI0InG8,/c/CBSNews,CBS News,Climate change threatens cactuses with extinction,1.3K,1.3K views,,2022-04-21 18:34:44.680210
/watch?v=DU-CG2NKv9Q,/c/NBCNews,NBC News,How The West Was Lost: Climate Change | Meet The Press Reports,230K,230K views,,2022-04-21 18:34:44.686445
/watch?v=wCIeAqusDuk,/channel/UCwzP0IAKZkvjKyd00IhHMgQ,Science,2 Degrees Till The End. Global Warming Documentary,233K,233K views,,2022-04-21 18:34:44.692532
/watch?v=QlQ-MEZgRGY,/user/environmentcan,Environment and Climate Change Canada,What is Climate Change?,48K,48K views,,2022-04-21 18:34:44.699756
/watch?v=-qPp-C-BxNU,/c/RedPixNews24x7,Red Pix 24x7,Chennai city will become groups of tiny Islands due to climate change,1.1K,1.1K views,,2022-04-21 18:34:44.708208
/watch?v=usooBeUoZG0,/c/WCNC,WCNC,How climate change affects you and your community,27,27 views,,2022-04-21 18:34:44.718988
/watch?v=qxWeSh3byfs,/user/thomhartmann,Thom Hartmann Program,If We Don't Save The Ocean From Climate Change  (w/ Dr. Sylvia A. Earle),2K,2K views,,2022-04-21 18:34:44.725892
/watch?v=LNKKXgM4iOE,/user/DailyCallerVideo,TheDC Shorts,Ben Shapiro Explains Why Climate Change Is Not An 'Emergency' To This Student,69K,69K views,,2022-04-21 18:34:44.733084
/watch?v=F_pKB_C1NdQ,/c/CNBC,CNBC,Can Homeowners In The U.S. Afford Climate Change?,296K,296K views,,2022-04-21 18:34:44.740658
